pais	sigla	capital	continente	dificuldade
África do Sul	ZAF	Pretória	África	1
Angola	AGO	Luanda	África	1
Argélia	DZA	Argel	África	1
Benin	BEN	Porto Novo	África	1
Botsuana	BWA	Gaborone	África	1
Burkina Faso	BFA	Uagadugu	África	2
Burundi	BDI	Bujumbura	África	2
Cabo Verde	CPV	Praia	África	2
Camarões	CMR	Iaundé	África	1
Chade	TCD	Jamena	África	2
Comores	COM	Moroni	África	2
Costa do Marfim	CIV	Iamussucro	África	1
Egito	EGY	Cairo	África	1
Eritreia	ERI	Asmara	África	2
Etiópia	ETH	Adis Abeba	África	1
Gabão	GAB	Libreville	África	1
Gâmbia	GMB	Banjul	África	2
Gana	GHA	Acra	África	1
Guiné	GIN	Conacri	África	1
Guiné Equatorial	GNQ	Malabo	África	2
Guiné-Bissau	GNB	Bissau	África	3
Lesoto	LSO	Maseru	África	2
Libéria	LBR	Monróvia	África	2
Líbia	LBY	Trípoli	África	1
Madagascar	MDG	Antananarivo	África	1
Mali	MLI	Bamaco	África	2
Marrocos	MAR	Rebate	África	1
Mauritânia	MRT	Nuaquechote	África	2
Moçambique	MOZ	Maputo	África	1
Namíbia	NAM	Vinduque	África	1
Níger	NER	Niamei	África	1
Nigéria	NGA	Abuja	África	1
Quênia	KEN	Nairóbi	África	1
República Centro-Africana	CAF	Bangui	África	2
República Democrática do Congo	COD	Quinxassa	África	1
Ruanda	RWA	Quigali	África	1
São Tomé e Príncipe	STP	São Tomé	África	3
Senegal	SEN	Dacar	África	1
Serra Leoa	SLE	Freetown	África	1
Seychelles	SYC	Vitória	África	3
Somália	SOM	Mogadíscio	África	1
Sudão	SDN	Cartum	África	1
Sudão do Sul	SSD	Juba	África	1
Tanzânia	TZA	Dodoma	África	2
Togo	TGO	Lomé	África	1
Tunísia	TUN	Tunes	África	1
Uganda	UGA	Campala	África	1
Zâmbia	ZMB	Lusaca	África	1
Zimbábue	ZWE	Harare	África	1
Antígua e Barbuda	ATG	São João	América	3
Argentina	ARG	Buenos Aires	América	1
Bahamas	BHS	Nassau	América	2
Barbados	BRB	Bridgetown	América	2
Belize	BLZ	Belmopã	América	2
Bolívia	BOL	Sucre	América	1
Brasil	BRA	Brasília	América	1
Canadá	CAN	Otava	América	1
Chile	CHL	Santiago	América	1
Colômbia	COL	Bogotá	América	1
Costa Rica	CRI	São José	América	1
Cuba	CUB	Havana	América	2
Dominica	DMA	Roseau	América	2
Equador	ECU	Quito	América	1
Grenada	GRD	São Jorge	América	3
Guatemala	GTM	Cidade da Guatemala	América	2
Guiana	GUY	Georgetown	América	1
Haiti	HTI	Porto Príncipe	América	2
Honduras	HND	Tegucigalpa	América	2
Jamaica	JAM	Kingston	América	2
México	MEX	Cidade do México	América	1
Nicarágua	NIC	Manágua	América	1
Panamá	PAN	Cidade do Panamá	América	1
Paraguai	PRY	Assunção	América	1
Peru	PER	Lima	América	1
República Dominicana	DOM	São Domingos	América	2
Santa Lúcia	LCA	Castries	América	3
Suriname	SUR	Paramaribo	América	2
Uruguai	URY	Montevideu	América	1
Venezuela	VEN	Caracas	América	1
Afeganistão	AFG	Cabul	Ásia	1
Arábia Saudita	SAU	Riade	Ásia	1
Armênia	ARM	Erevã	Ásia	1
Azerbaijão	AZE	Bacu	Ásia	1
Bahrein	BHR	Manama	Ásia	2
Bangladesh	BGD	Daca	Ásia	2
Brunei	BRN	Bandar Seri Begauã	Ásia	1
Butão	BTN	Timbu	Ásia	2
Camboja	KHM	Pnom Pene	Ásia	2
Cazaquistão	KAZ	Astana	Ásia	1
China	CHN	Pequim	Ásia	1
Emirados Árabes Unidos	ARE	Abu Dabi	Ásia	2
Filipinas	PHL	Manila	Ásia	2
Geórgia	GEO	Tebilíssi	Ásia	2
Iêmen	YEM	Saná	Ásia	2
Índia	IND	Nova Déli	Ásia	1
Indonésia	IDN	Jacarta	Ásia	1
Irã	IRN	Teerão	Ásia	1
Iraque	IRQ	Bagdade	Ásia	1
Israel	ISR	Jerusalém	Ásia	1
Japão	JPN	Tóquio	Ásia	1
Jordânia	JOR	Amã	Ásia	2
Laos	LAO	Vienciana	Ásia	2
Líbano	LBN	Beirute	Ásia	1
Malásia	MYS	Cuala Lumpur	Ásia	2
Maldivas	MDV	Malé	Ásia	3
Mianmar	MMR	Nepiedó	Ásia	1
Mongólia	MNG	Ulã Bator	Ásia	1
Nepal	NPL	Catmandu	Ásia	2
Omã	OMN	Mascate	Ásia	2
Paquistão	PAK	Islamabade	Ásia	1
Qatar	QAT	Doa	Ásia	3
Síria	SYR	Damasco	Ásia	1
Sri Lanka	LKA	Sri Jaiavardenapura-Cota	Ásia	2
Tailândia	THA	Banguecoque	Ásia	2
Tajiquistão	TJK	Duchambé	Ásia	2
Turcomenistão	TKM	Asgabate	Ásia	2
Turquia	TUR	Ancara	Ásia	1
Uzbequistão	UZB	Tasquente	Ásia	1
Vietnã	VNM	Hanói	Ásia	1
Albânia	ALB	Tirana	Europa	1
Alemanha	DEU	Berlim	Europa	1
Andorra	AND	Andorra-a-Velha	Europa	2
Áustria	AUT	Viena	Europa	1
Bélgica	BEL	Bruxelas	Europa	1
Bósnia e Herzegovina	BIH	Saraievo	Europa	1
Bulgária	BGR	Sófia	Europa	1
Chipre	CYP	Nicósia	Europa	2
Vaticano	VAT	Vaticano	Europa	2
Croácia	HRV	Zagrebe	Europa	1
Dinamarca	DNK	Copenhaga	Europa	1
Eslováquia	SVK	Bratislava	Europa	1
Eslovênia	SVN	Liubliana	Europa	1
Espanha	ESP	Madrid	Europa	1
Estônia	EST	Talim	Europa	1
Finlândia	FIN	Helsínquia	Europa	1
França	FRA	Paris	Europa	1
Grécia	GRC	Atenas	Europa	1
Hungria	HUN	Budapeste	Europa	1
Irlanda	IRL	Dublim	Europa	1
Islândia	ISL	Reiquiavique	Europa	1
Itália	ITA	Roma	Europa	1
Letônia	LVA	Riga	Europa	2
Liechtenstein	LIE	Vaduz	Europa	3
Lituânia	LTU	Vílnius	Europa	1
Luxemburgo	LUX	Luxemburgo	Europa	3
Malta	MLT	Valeta	Europa	2
Moldávia	MDA	Quixinau	Europa	1
Montenegro	MNE	Podgoritsa	Europa	2
Macedônia do Norte	MKD	Escópia	Europa	2
Noruega	NOR	Oslo	Europa	1
Países Baixos	NLD	Amesterdão	Europa	2
Polônia	POL	Varsóvia	Europa	1
Portugal	PRT	Lisboa	Europa	1
Mônaco	MCO	Mónaco	Europa	2
Reino Unido	GBR	Londres	Europa	1
Romênia	ROU	Bucareste	Europa	1
Rússia	RUS	Moscovo	Europa	1
Sérvia	SRB	Belgrado	Europa	1
Suécia	SWE	Estocolmo	Europa	1
Suíça	CHE	Berna	Europa	1
Ucrânia	UKR	Quieve	Europa	1
Austrália	AUS	Camberra	Oceania	1
Fiji	FJI	Suva	Oceania	3
Nauru	NRU	Iarém	Oceania	3
Nova Zelândia	NZL	Wellington	Oceania	1
Palau	PLW	Ngerulmud	Oceania	3
Papua Nova Guiné	PNG	Porto Moresby	Oceania	3
Samoa	WSM	Apia	Oceania	3
Tonga	TON	Nucualofa	Oceania	3
Tuvalu	TUV	Funafuti	Oceania	3
Vanuatu	VUT	Porto Vila	Oceania	3
